T	S	TP	TN	FP	FN
1	2	3	159954	53300	7
1	7	0	159961	53303	0
1	3	35716	87999	17587	71962
1	9	68	154846	53235	5115
2	5	52330	109593	1024	50317
2	10	52082	151285	1272	8625
3	1	3205	158064	50101	1894
3	10	0	159958	53306	0
4	4	6259	156502	47042	3461
4	7	2494	159960	50807	3
1	3	35716	87999	17587	71962
1	9	68	154846	53235	5115
2	5	52330	109593	1024	50317
3	1	3205	158064	50101	1894
3	10	0	159958	53306	0
4	4	6259	156502	47042	3461
4	7	2494	159960	50807	3
2	10	52082	151285	1272	8625
