tex_4_seed_01.txt	tex_4_seed_02.txt	tex_4_seed_03.txt	tex_4_seed_04.txt	tex_4_seed_05.txt	tex_4_seed_06.txt	tex_4_seed_07.txt	tex_4_seed_08.txt	tex_4_seed_09.txt	tex_4_seed_10.txt	AVG
12979	12979	12979	12979	12979	13044	12979	12979	12979	13017	12989.3
12979	12979	12979	12979	12979	12979	12979	12979	12978	12710	12952
12979	12979	12753	12979	12979	12979	12979	12979	11773	12710	12808.9
12979	12979	12651	12979	12979	12979	12979	12979	11773	12960	12823.7
12979	12978	12610	12979	12979	12979	12979	12979	11773	12960	12819.5
12979	12978	12610	12979	12958	12979	12957	12979	11773	12917	12810.9
12979	12978	12610	12979	12979	12979	12957	12979	11773	12887	12810
12979	12978	12610	12979	12979	12979	12957	12979	11793	12887	12812
12979	12978	12610	12979	12979	12979	12957	12913	11793	12887	12805.4
12979	12978	12610	12979	12979	12979	12957	12979	11793	12875	12810.8
12979	10346	12610	12979	12979	12979	12957	12979	11793	12875	12547.6
12979	10346	12610	12979	12979	12979	12957	12979	11793	12817	12541.8
12979	10346	12610	12979	12979	12979	12316	12979	7773	12817	12075.7
12979	10346	12609	12979	12979	12979	12316	12979	7773	12817	12075.6
12979	7385	12609	12979	12979	12979	12316	12979	7773	12817	11779.5
12979	7383	12609	12979	12979	12979	12956	12979	7089	12817	11774.9
12979	7318	12609	12979	12979	12979	12956	12979	7089	12817	11768.4
12979	7317	12609	12979	12979	12979	12956	12979	7089	12757	11762.3
12979	7317	12609	12979	12979	12979	12956	12979	7089	12757	11762.3
12979	7316	12609	12979	12979	12979	12940	12979	7089	12710	11755.9
12979	7316	12609	12979	12979	12979	12938	12979	7068	12757	11758.3
12979	7316	12609	12979	12979	12979	12828	12979	7068	12757	11747.3
12979	7316	12609	12979	12979	12978	12767	12979	7076	12757	11741.9
12979	6546	12609	12979	12979	12978	12610	12979	7083	12757	11649.9
12979	6546	12609	12979	12979	12978	12610	12979	7068	12757	11648.4
12979	6546	12609	12564	12979	12978	11775	12979	7022	12757	11518.8
12978	6546	12609	12564	12979	12978	11784	12979	7022	12757	11519.6
12978	6546	12609	12564	12979	12978	11784	12979	7007	12757	11518.1
12978	6546	12609	12564	12979	12978	11763	12979	7007	12757	11516
12978	6546	12607	12564	12979	12976	11568	12979	7004	12757	11495.8
12978	6546	12607	12564	12979	12976	11419	12979	6995	12757	11480
12978	6546	12607	11793	12979	12976	11419	12979	6995	12757	11402.9
12978	6546	12607	11611	12979	12976	11419	12979	6989	12710	11379.4
12978	6546	11838	10862	12979	12976	11319	12979	6989	12710	11217.6
12978	6546	12511	11196	12979	12976	11319	12979	6989	12103	11257.6
12978	6546	12511	11026	12979	12976	11319	12979	6989	12103	11240.6
12978	6546	12505	10728	12979	12976	11319	12979	6989	12103	11210.2
12978	6505	12503	10765	12979	12976	11232	12979	6989	12103	11200.9
12978	6505	12503	10195	12979	12976	11232	12979	6978	12103	11142.8
12978	6423	12503	10195	12979	12976	11232	12979	6978	12757	11200
12978	6423	12380	10195	12979	12976	11232	12979	6978	12757	11187.7
12978	6423	12356	10195	12979	12976	11232	12979	6978	12710	11180.6
12978	6373	12356	9390	12979	12976	11232	12979	6978	12710	11095.1
12974	6373	12355	9390	12979	12976	11232	12979	6976	12710	11094.4
12974	6373	12350	9390	12979	12976	11232	12979	6975	12710	11093.8
12974	6373	12350	9390	12969	12976	11147	12973	6972	12710	11083.4
12974	6250	12350	9252	12979	12976	11147	12880	6972	12710	11049
12974	6168	12350	9252	12935	12976	11147	12880	6965	12710	11035.7
12974	6168	12350	9252	12935	12976	11131	12925	6955	12710	11037.6
12974	6168	12350	9243	12935	12976	11131	12925	6955	12710	11036.7
12974	6032	12350	9243	12935	12976	11131	12925	6955	12710	11023.1
