13.4,28.44,15.04
19.2,23.68,4.48
19.0,21.95,2.95
32.2,32.22,0.02
45.4,44.64,-0.76
31.8,33.22,1.42
36.4,36.25,-0.15
20.6,18.11,-2.49
6.1,17.2,11.1
30.2,22.42,-7.78
13.4,11.56,-1.84
10.6,10.28,-0.32
10.8,18.27,7.47
27.0,27.89,0.89
43.4,44.89,1.49
28.7,28.44,-0.26
39.0,43.52,4.52
15.5,15.9,0.4
29.5,30.73,1.23
15.4,24.66,9.26
26.3,33.3,7.0
13.9,12.19,-1.71
12.5,18.62,6.12
33.0,36.31,3.31
10.5,11.68,1.18
32.2,36.41,4.21
19.6,24.51,4.91
11.0,9.08,-1.92
50.5,26.86,-23.64
47.7,45.32,-2.38
13.1,12.99,-0.11
24.2,29.12,4.92
46.5,39.1,-7.4
20.3,18.84,-1.46
42.0,41.32,-0.68
28.4,25.58,-2.82
63.0,59.98,-3.02
49.0,36.31,-12.69
34.0,40.83,6.83
