paramSet_01.txt	paramSet_02.txt	paramSet_03.txt	paramSet_04.txt	paramSet_05.txt	paramSet_06.txt	paramSet_07.txt	paramSet_08.txt	paramSet_09.txt	paramSet_10.txt	paramSet_11.txt	paramSet_12.txt	paramSet_13.txt	paramSet_14.txt	paramSet_15.txt	paramSet_16.txt	paramSet_17.txt	paramSet_18.txt	paramSet_19.txt	paramSet_20.txt
1370.92	1409.65	1409.09	1214.37	1223.73	1229.87	1206.12	1475.15	1181.3 	1273.6 	1236.84	1132.14	1277.57	1520.89	1206.6 	1185.87	1327.45	1134.58	1173.08	1336   
1370.85	1409.65	1409.09	1203.02	1220.68	1229.87	1199.44	1475.15	1181.3 	1271.92	1236.84	1131.88	1264.14	1517.51	1205.19	1185.87	1327.45	1134.56	1173.08	1336   
1370.69	1409.65	1410.03	1189.54	1220.68	1229.87	1199.44	1472.53	1181.3 	1270.48	1236.84	1130.6 	1264.14	1517.51	1191.95	1185.87	1320.94	1128.63	1171.94	1316.02
1370.69	1409.65	1408.98	1183.01	1220.68	1229.87	1200.07	1450.97	1183.54	1268.5 	1232.77	1129.94	1255.84	1517.51	1191.76	1185.87	1232.97	1128.14	1169.6 	1316.02
1357.87	1408   	1408.98	1182.81	1219.61	1229.82	1200.07	1440.51	1175.63	1268   	1227.84	1127.34	1252.5 	1514.86	1190.39	1180.45	1232.97	1128.14	1169.6 	1315.74
1357.87	1408   	1408.98	1181.84	1219.61	1225.85	1200.07	1440.51	1174.59	1268   	1227.84	1127.39	1247.5 	1514.86	1190.39	1180.45	1232.97	1128.14	1169.6 	1313.38
1357.87	1408   	1408.3 	1181.02	1219.61	1223.3 	1198.8 	1432.94	1171.52	1266.91	1226.06	1126.65	1241.89	1514.86	1185   	1180.45	1232.97	1126.43	1164.5 	1304.86
1352.65	1405.41	1407.08	1181.02	1218.33	1221.72	1198.75	1425.03	1170.36	1257.84	1225.45	1126.65	1241.89	1514.21	1175.48	1180.45	1224.07	1126.43	1164.77	1281.66
1352.63	1405.41	1407.08	1180.73	1218.33	1221.72	1196.49	1419.5 	1161.54	1257.84	1222.02	1125.59	1241.89	1514.21	1175.48	1180.22	1183.49	1126.18	1163.47	1281.66
1343.03	1405.41	1407.08	1180.73	1218.33	1221.72	1195.46	1400.47	1161.54	1257.84	1221.83	1125   	1239.93	1513.53	1167.63	1179.35	1155.41	1126.15	1162.13	1281.66
