T	S	TP	TN	FP	FN
1	1	260	159947	53043	14
1	7	0	159961	53303	0
2	6	27863	143089	25491	16821
2	10	30243	136141	23111	23769
3	7	0	159958	53306	0
3	10	35554	140765	17752	19193
4	6	50445	115680	2856	44283
4	7	3841	157626	49460	2337
