13104	11377	9500	13085	13106	13094	13104	12877	13104	12311	12466.2
12898	12209	9500	12900	13107	12711	11722	12877	12567	12311	12280.2
12898	12577	9500	8155	12772	12711	11620	13059	12646	12311	11824.9
12681	11047	9500	10613	12567	12383	12877	11293	12567	12317	11784.5
12383	11047	9500	11902	12567	12383	12900	12425	12567	11350	11902.4
12383	11047	9500	11581	12309	12681	12977	7829	12567	11350	11422.4
12646	12243	9500	10127	12311	12681	12646	7829	12383	11226	11359.2
12307	12243	9500	5380	12311	12681	12646	7722	12311	11287	10838.8
12307	12173	9500	6345	12311	12651	11179	7722	12311	11494	10799.3
12171	12247	9500	6345	12311	10416	11179	7722	12311	10959	10516.1
12307	12246	9500	6345	12311	10416	10991	7527	12362	10959	10496.4
9484	12076	9500	6345	12311	11626	10991	7722	12311	10959	10332.5
11420	12133	9500	6345	12309	10416	11834	6984	12311	10799	10405.1
10224	12133	6976	5861	12309	10152	11499	7007	12311	9963	9843.5
11420	12122	8801	5769	12309	10152	9792	6924	12297	10647	10023.3
11237	12034	6976	5380	12309	10152	9792	6921	12297	10647	9774.5
10356	12034	6976	10851	12383	8378	9748	5626	12297	9963	9861.2
6135	12125	6976	10676	12309	10151	9792	5626	12293	9963	9604.6
6951	12126	6976	9799	12008	8378	9414	6491	12262	9963	9436.8
6951	12126	6976	5380	11899	8104	9634	6604	12254	8560	8848.8
6951	12034	6976	5116	11899	7893	8768	6457	10972	8532	8559.8
6951	12046	6976	5380	11899	6356	8768	6382	11173	8211	8414.2
5778	12078	6976	5380	11295	6356	7978	6251	11173	7793	8105.8
5778	10821	6976	5380	9943	6355	6623	5819	11742	7731	7716.8
5778	10821	6976	5116	10783	6336	6109	6257	11173	7731	7708
5778	7315	6976	5116	10776	6336	7508	5822	11173	7793	7459.3
5710	7147	6976	5116	9987	6353	5276	5822	11171	7626	7118.4
5316	5882	6976	5116	9987	5653	5276	5822	11171	7161	6836
5710	5879	6928	4599	9986	5653	5276	5815	10954	6677	6747.7
5316	5797	6928	4969	8927	5653	5233	5614	10951	6992	6638
5316	4501	6928	4797	8927	5582	4829	5507	10951	7195	6453.3
5316	4501	6893	4431	8927	5338	4829	5507	10849	7083	6367.4
5316	4498	6620	4325	8927	5338	4786	5506	9962	6188	6146.6
5316	2985	6620	4431	8927	5184	4786	5240	9962	6188	5963.9
5316	2985	6620	4325	6622	5159	4783	5240	8893	6183	5612.6
4752	2979	6620	4325	6641	4856	4783	5240	8804	6168	5516.8
4752	2963	6522	4325	6641	4969	4522	5240	8113	6168	5421.5
4752	2827	6522	4308	6641	4969	4546	5240	8113	6168	5408.6
4752	2827	6522	4308	6641	4969	3843	5201	8040	6168	5327.1
4752	2827	6519	4133	6641	4670	3843	5018	8040	6164	5260.7
4688	2827	6519	4133	6622	4321	3570	4759	7593	6131	5116.3
4688	2827	6463	4126	6622	4321	3509	4196	7593	6131	5047.6
4688	2800	6463	4131	6637	4321	3386	4196	8040	5681	5034.3
4688	2703	6339	4043	6410	4304	3324	4196	8040	5681	4972.8
4556	2703	6339	4043	6396	4208	3290	4196	7140	5681	4855.2
4501	2746	6339	4038	5366	3852	2763	4196	7201	5214	4621.6
4501	2743	6339	4034	5296	3816	2763	4195	7201	5214	4610.2
4501	2701	6299	4015	5296	3816	2763	4140	5774	5214	4451.9
4501	2701	6292	3928	5296	3815	2714	4140	5774	5214	4437.5
4501	2701	6292	3928	5296	3813	2714	4003	5774	5214	4423.6
4501	2666	6261	3928	5296	3712	2714	4003	5774	5200	4405.5
