5.8,19.13,13.33
12.7,17.7,5.0
28.4,21.73,-6.67
51.2,49.35,-1.85
35.9,32.47,-3.43
17.9,23.42,5.52
33.3,26.5,-6.8
32.7,22.02,-10.68
11.8,17.89,6.09
26.8,23.33,-3.47
7.8,19.78,11.98
42.7,44.0,1.3
21.2,17.27,-3.93
61.0,47.44,-13.56
12.5,10.16,-2.34
8.2,16.54,8.34
21.6,27.34,5.74
21.8,19.85,-1.95
29.3,24.89,-4.41
9.6,19.92,10.32
33.8,35.22,1.42
10.2,17.99,7.79
17.7,21.42,3.72
21.0,26.66,5.66
9.0,21.07,12.07
29.1,31.21,2.11
22.0,28.23,6.23
40.1,43.29,3.19
56.9,55.04,-1.86
35.2,38.62,3.42
9.3,10.57,1.27
17.6,27.83,10.23
37.7,35.04,-2.66
20.3,21.96,1.66
6.7,17.89,11.19
11.4,24.53,13.13
38.2,22.99,-15.21
19.0,22.44,3.44
45.9,51.85,5.95
34.8,33.84,-0.96
18.4,25.6,7.2
27.1,27.45,0.35
35.2,35.46,0.26
11.0,12.76,1.76
50.4,36.67,-13.73
34.2,22.99,-11.21
20.8,18.74,-2.06
28.7,21.75,-6.95
13.1,18.65,5.55
38.2,24.6,-13.6
27.0,25.78,-1.22
45.4,26.48,-18.92
45.0,53.53,8.53
28.4,22.37,-6.03
23.5,25.77,2.27
10.1,19.11,9.01
45.4,41.6,-3.8
41.0,23.63,-17.37
27.6,23.13,-4.47
12.8,25.6,12.8
35.1,26.76,-8.34
18.0,20.58,2.58
10.5,17.81,7.31
24.0,21.13,-2.87
26.1,21.13,-4.97
42.0,46.02,4.02
15.5,19.13,3.63
13.5,14.4,0.9
8.5,17.15,8.65
37.0,35.25,-1.75
10.0,14.4,4.4
29.8,22.72,-7.08
40.4,42.18,1.78
36.8,32.51,-4.29
19.1,26.48,7.38
17.0,12.75,-4.25
39.0,26.55,-12.45
76.0,71.98,-4.02
38.1,27.66,-10.44
5.1,19.13,14.03
13.2,17.29,4.09
30.9,37.24,6.34
19.3,19.17,-0.13
25.0,30.58,5.58
24.0,18.47,-5.53
39.2,23.63,-15.57
37.7,40.77,3.07
31.0,20.96,-10.04
23.2,19.94,-3.26
12.8,15.02,2.22
25.1,12.96,-12.14
18.0,21.83,3.83
9.0,18.96,9.96
15.4,23.8,8.4
37.0,35.9,-1.1
11.0,19.85,8.85
14.0,24.87,10.87
22.8,18.67,-4.13
27.0,23.2,-3.8
32.7,23.76,-8.94
6.4,21.13,14.73
14.2,19.63,5.43
16.0,23.14,7.14
26.3,22.02,-4.28
