paramSet1_01.txt	paramSet1_02.txt	paramSet1_03.txt	paramSet1_04.txt	paramSet1_05.txt	paramSet1_06.txt	paramSet1_07.txt	paramSet1_08.txt	paramSet1_09.txt	paramSet1_10.txt	paramSet2_01.txt	paramSet2_02.txt	paramSet2_03.txt	paramSet2_04.txt	paramSet2_05.txt	paramSet2_06.txt	paramSet2_07.txt	paramSet2_08.txt	paramSet2_09.txt	paramSet2_10.txt
0.783917	0.0608176	0.327996	0.258969	0.0563457	0.459444	0.0433594	0.05063  	0.1029   	0.323666	0.0724978	0.148701 	0.413437	0.124062 	0.134896 	0.0704661	0.107835 	0.201717 	0.387621	0.368701
0.544405	0.0614142	0.279581	0.256301	0.0565485	0.668669	0.0489889	0.0279738	0.145534 	0.30516 	0.0760272	0.148982 	0.497295	0.145885 	0.0710214	0.0764904	0.087376 	0.196389 	0.249539	0.309471
0.571305	0.084268 	0.265886	0.250811	0.0532869	0.366267	0.0454489	0.0416641	0.0922555	0.291153	0.0676071	0.183819 	0.69401 	0.137176 	0.072964 	0.0894343	0.059964 	0.163301 	0.341287	0.441329
0.52722 	0.0664666	0.345664	0.266673	0.0636373	0.319045	0.0520262	0.0302619	0.0937109	0.238584	0.110879 	0.129298 	0.629566	0.120937 	0.0670529	0.120303 	0.0616425	1.39975  	0.365388	0.396542
0.732321	0.0597296	0.365631	0.236163	0.0593355	0.34705 	0.0404073	0.0333132	0.0894936	0.340849	0.10159  	0.120752 	0.486195	0.150233 	0.0907727	0.0913928	0.0782578	0.0848306	0.697713	0.442357
0.617643	0.0634892	0.323002	0.249447	0.0467807	0.495862	0.0532668	0.0369928	0.1077   	0.379369	0.06411  	0.121865 	0.538188	1.40281  	0.0669589	0.0690145	0.0581875	0.467361 	0.387398	0.266246
0.921697	0.0508031	0.399957	0.266066	0.0519587	0.400964	0.0514661	0.0377332	0.134693 	0.323002	0.0832544	0.144432 	0.385291	0.107652 	0.0640732	0.0629609	0.100451 	0.146913 	0.328198	0.299916
0.499523	0.0592096	0.368236	0.245322	0.0637564	0.351126	0.0583359	0.0483635	0.0924127	0.297998	0.0819355	0.161541 	0.302781	0.158605 	0.137567 	0.0623456	0.0488549	0.152439 	0.324088	0.239684
0.95306 	0.0631574	0.318408	0.266066	0.0652665	0.936138	0.0439354	0.054764 	0.127723 	0.30988 	0.0566952	0.184553 	0.436734	0.111961 	0.0921753	0.120568 	0.0705203	0.152526 	0.393632	0.336662
0.484634	0.0653333	0.282138	0.263549	0.0664191	0.240177	0.0488108	0.0571268	0.148122 	0.373625	0.0719702	0.107737 	0.622949	0.156979 	0.073313 	0.101776 	0.0592638	0.116512 	0.38026 	0.323091
0.556064	0.0656334	0.369516	0.274376	0.0717935	0.403261	0.0524462	0.0449528	0.0880822	0.288812	0.0486842	0.149584 	0.661238	0.0649996	0.0853259	0.0859447	0.0901841	0.101596 	0.423521	0.402002
0.469837	0.0555186	0.362714	0.225639	0.0647611	0.333746	0.0492233	0.0437429	0.0985769	0.327068	0.0681364	0.137599 	0.487213	0.156625 	0.0927269	0.0994124	0.0930301	0.12941  	0.430414	0.301682
0.487156	0.0647503	0.369516	0.277499	0.0453586	0.255732	0.0376877	0.0435673	0.0904592	0.360727	0.0673974	0.124571 	0.390292	0.0815858	0.107761 	0.107096 	0.0518755	0.153674 	0.401497	0.346387
0.556642	0.0423741	0.329716	0.236618	0.0610173	0.528902	0.0461208	0.0483693	0.121952 	0.31112 	0.0770175	0.0955183	0.475456	0.10823  	0.0817455	0.0687641	0.0605925	0.157097 	0.687003	0.311695
0.462857	0.0700442	0.236419	0.272616	0.0546605	0.373356	0.0502702	0.0517537	0.104115 	0.286205	0.0871731	0.133284 	0.454781	0.106359 	0.080688 	0.12944  	0.0761611	0.145739 	0.368098	0.359886
0.507253	0.0620659	0.260892	0.247444	0.0580152	0.560272	0.0536899	0.0442638	0.0776567	0.340803	0.0649903	0.109107 	0.414441	0.156404 	0.0879202	0.399943 	0.0732129	0.143443 	0.453193	0.31404 
0.465728	0.064798 	0.310677	0.225185	0.0581628	0.234156	0.0487733	0.0587475	0.131259 	0.333385	0.105046 	0.106898 	0.384565	0.116737 	0.0837041	0.411497 	0.0626881	0.13376  	0.368834	0.389371
0.358077	0.0635214	0.403708	0.266673	0.0628633	0.269482	0.0470301	0.0522755	0.093475 	0.426107	0.064961 	0.104171 	0.345554	149.486  	0.0661794	0.0866621	0.0601995	0.133943 	0.278118	0.513509
0.613313	0.0634905	0.290314	0.259272	0.0631897	0.264127	0.0359095	0.0528593	0.0726256	0.423544	0.0735605	0.150132 	0.5703  	0.132925 	0.0666574	0.0860692	0.0514438	0.104057 	0.43659 	0.473615
0.564282	0.0392632	0.26151 	0.248901	0.059707 	0.443656	0.0566935	0.054305 	0.0916769	0.321413	0.0780035	0.0993941	0.348363	0.0632545	0.0784221	1.39507  	0.0577334	0.145449 	0.348112	0.352242
0.666501	0.0572433	0.32901 	0.243108	0.0616997	0.621247	0.0490235	0.0504182	0.0811693	0.260761	0.0784675	0.102221 	0.65008 	0.0986525	0.0494782	0.0823194	0.0698165	0.0860682	0.484537	0.475865
0.386214	0.0679281	0.355469	0.251115	0.0658636	0.401359	0.0480714	0.042421 	0.133444 	0.33886 	0.0708991	0.453238 	0.753016	0.0839416	0.0471289	0.0695642	0.0485873	0.134034 	0.446315	0.478297
0.958583	0.0468611	0.341822	0.258515	0.0561405	0.373005	0.054833 	0.0469619	0.127108 	0.384315	0.0965363	0.100637 	0.635761	0.0640071	0.0978726	0.102185 	0.0448459	0.115023 	0.416428	0.599286
0.579656	0.0461902	0.305819	0.280016	0.0618322	0.434383	0.0536257	0.0544114	0.14289  	0.331751	0.107831 	0.109264 	0.642949	0.0723537	0.095527 	0.122093 	0.0515891	0.432649 	0.367162	0.45959 
0.773403	0.0483871	0.31916 	0.263002	0.0548813	0.497584	0.0513982	0.0587682	0.100122 	0.269022	0.102357 	0.100151 	0.441118	0.130927 	0.0968953	0.143389 	0.0230674	0.115844 	0.331007	0.457409
