12.8	14.19	1.39	0.1069230769
14.2	14.2	0	0
9.4	8.66	-0.74	0.0569230769
31.3	29.34	-1.96	0.1507692308
59.3	59.15	-0.15	0.0115384615
13.4	13.17	-0.23	0.0176923077
27	31.97	4.97	0.3823076923
39	38.58	-0.42	0.0323076923
36.9	31.97	-4.93	0.3792307692
11.2	13.51	2.31	0.1776923077
24	21.88	-2.12	0.1630769231
20.4	21.88	1.48	0.1138461538
40.4	40.34	-0.06	0.0046153846
			
			0.1228402367
