47.7,44.8,-2.9
11.3,17.15,5.85
10.1,9.88,-0.22
45.0,35.68,-9.32
23.0,14.4,-8.6
41.0,38.45,-2.55
31.7,38.44,6.74
32.2,23.42,-8.78
16.7,10.92,-5.78
15.3,20.83,5.53
33.0,32.43,-0.57
31.0,30.07,-0.93
59.3,44.42,-14.88
14.0,38.44,24.44
30.5,20.54,-9.96
19.3,24.99,5.69
15.4,23.57,8.17
57.7,42.77,-14.93
32.7,40.57,7.87
10.5,23.42,12.92
6.4,16.67,10.27
11.8,10.57,-1.23
12.3,15.54,3.24
21.9,25.78,3.88
13.0,9.21,-3.79
43.6,46.3,2.7
31.8,28.97,-2.83
30.2,22.21,-7.99
28.3,15.86,-12.44
27.4,25.68,-1.72
23.0,16.67,-6.33
29.8,25.18,-4.62
30.7,20.17,-10.53
48.3,42.65,-5.65
13.4,19.22,5.82
37.6,39.64,2.04
26.1,24.41,-1.69
29.0,20.89,-8.11
9.4,16.08,6.68
34.2,36.17,1.97
71.0,42.98,-28.02
43.4,42.2,-1.2
27.6,31.27,3.67
50.0,53.37,3.37
13.9,22.55,8.65
11.0,14.04,3.04
21.2,21.25,0.05
5.9,10.92,5.02
51.2,52.89,1.69
37.7,46.35,8.65
45.4,43.7,-1.7
28.4,31.39,2.99
31.0,37.2,6.2
9.3,14.7,5.4
28.5,13.25,-15.25
20.9,24.81,3.91
35.2,33.76,-1.44
16.8,20.6,3.8
28.5,16.98,-11.52
33.3,14.4,-18.9
25.9,27.27,1.37
6.9,17.83,10.93
35.1,33.19,-1.91
40.1,42.92,2.82
8.5,10.11,1.61
