42.7,55.69,12.99
29.0,21.43,-7.57
54.8,65.91,11.11
5.8,11.52,5.72
51.2,33.37,-17.83
13.5,18.2,4.7
24.0,21.31,-2.69
12.3,28.21,15.91
25.8,30.17,4.37
13.0,16.5,3.5
50.0,51.29,1.29
13.1,17.73,4.63
9.4,17.67,8.27
49.0,21.09,-27.91
43.4,48.53,5.13
7.2,18.12,10.92
17.7,30.05,12.35
23.0,24.03,1.03
26.3,27.79,1.49
14.7,19.42,4.72
21.2,23.48,2.28
39.0,32.56,-6.44
7.8,19.81,12.01
33.3,27.55,-5.75
31.8,28.62,-3.18
27.4,27.02,-0.38
6.4,22.08,15.68
16.0,18.41,2.41
25.9,26.05,0.15
35.1,21.21,-13.89
10.6,13.04,2.44
56.9,32.97,-23.93
11.8,12.6,0.8
8.0,22.29,14.29
12.8,24.24,11.44
16.3,24.75,8.45
12.7,12.6,-0.1
49.1,43.2,-5.9
23.0,22.08,-0.92
13.9,16.2,2.3
14.8,23.29,8.49
37.6,45.22,7.62
28.5,26.54,-1.96
71.0,45.8,-25.2
10.3,21.12,10.82
50.4,51.85,1.45
47.7,46.04,-1.66
61.1,61.46,0.36
41.0,36.64,-4.36
13.3,19.68,6.38
10.2,15.52,5.32
28.7,23.12,-5.58
