paramSet_01.txt	paramSet_02.txt	paramSet_03.txt	paramSet_04.txt	paramSet_05.txt	paramSet_06.txt	paramSet_07.txt	paramSet_08.txt	paramSet_09.txt	paramSet_10.txt	paramSet_11.txt	paramSet_12.txt	paramSet_13.txt	paramSet_14.txt	paramSet_15.txt	paramSet_16.txt	paramSet_17.txt	paramSet_18.txt	paramSet_19.txt	paramSet_20.txt
274.759	304.744	349.476	322.216	353.686	329.688	330.82 	288.152	248.94 	314.745	337.5  	315.025	324.097	331.803	322.994	298.271	296.387	297.632	268.679	293.806
274.069	303.498	347.046	322.216	342.944	327.215	322.692	287.14 	247.775	312.197	337.5  	314.256	324.097	328.884	316.787	298.228	295.686	297.632	268.679	293.219
274.069	303.498	347.046	320.459	335.205	325.977	307.865	287.14 	247.1  	311.118	337.5  	312.853	324.097	327.887	312.173	298.024	295.686	296.732	267.807	293.176
274.069	303.498	341.135	318.405	329.853	327.013	307.865	286.494	247.1  	309.621	333.951	310.049	308.231	321.202	312.234	298.024	295.729	293.725	264.638	293.105
273.435	303.498	341.135	316.3  	329.853	325.529	297.1  	282.733	246.977	309.621	333.951	309.736	303.686	317.762	310.765	298.024	295.729	295.407	263.583	290.884
273.3  	303.082	339.18 	318.625	326.497	323.478	292.141	282.733	245.598	309.501	332.787	309.724	303.686	313.698	306.748	298.024	295.508	293.85 	262.807	290.884
271.984	303.082	333.205	318.319	326.497	323.478	291.191	282.903	245.598	309.448	332.787	307.676	303.062	305.354	306.748	298.022	295.439	293.85 	262.136	290.884
271.899	303.082	328.213	316.554	323.51 	323.429	284.547	282.903	245.036	307.246	331.441	306.728	299.832	305.354	299.481	298.022	295.025	293.138	260.478	290.884
271.515	302.291	328.213	316.226	321.603	323.429	284.547	281.883	244.612	307.033	328.023	307.577	297.574	304.512	299.481	297.404	288.171	293.138	257.805	290.884
271.515	302.494	328.213	313.927	319.355	321.362	280.175	281.883	243.998	305.698	328.023	306.758	297.574	303.132	285.05 	297.404	288.171	291.784	254.628	290.884
271.515	302.494	322.644	313.927	319.076	321.335	280.025	281.883	243.488	303.143	328.023	305.962	297.574	302.665	285.05 	297.404	288.171	290.66 	254.628	290.884
271.416	302.332	321.726	313.253	314.666	320.445	278.165	281.883	242.972	302.428	328.023	303.707	295.142	302.665	285.01 	297.404	285.501	290.28 	254.628	290.884
271.003	301.784	316.209	313.575	313.605	320.445	275.912	281.883	241.954	302.428	328.023	303.707	295.142	298.699	285.01 	297.404	282.894	290.28 	252.016	289.477
271.003	301.784	316.209	312.301	312.198	318.638	273.689	281.883	240.912	301.674	328.023	303.687	295.142	293.941	284.727	297.404	282.509	289.596	251.684	289.477
270.997	299.99 	316.209	312.301	309.992	319.589	273.689	281.883	240.405	301.397	326.549	302.911	295.142	293.941	284.466	297.404	282.509	289.688	251.684	289.477
270.816	299.99 	316.209	312.105	309.592	319.354	273.689	281.883	240.308	299.477	326.549	302.735	293.755	293.904	284.436	297.404	282.144	289.633	250.215	289.477
270.713	299.99 	312.349	311.546	309.058	317.519	273.689	281.596	239.966	299.477	326.143	302.735	293.755	291.574	284.198	297.404	282.144	289.541	249.676	289.477
269.514	299.788	312.252	311.546	309.035	317.519	273.471	281.252	238.953	299.477	326.143	302.639	293.755	291.574	284.018	297.332	279.535	289.131	249.499	289.477
269.514	299.062	311.829	308.506	307.996	317.519	269.229	281.252	238.953	298.828	325.761	300.921	293.546	291.574	284.018	297.306	279.535	288.459	249.499	289.477
268.832	299.062	311.828	308.155	307.746	317.38 	269.229	281.109	238.953	296.768	326.331	300.34 	293.529	290.794	284.005	297.218	279.535	285.266	249.499	289.477
268.832	299.062	310.69 	307.368	306.087	317.008	269.229	281.109	238.845	296.768	326.159	300.34 	292.958	287.532	283.697	297.306	279.535	285.266	249.499	288.158
268.832	298.949	307.416	307.368	306.283	317.008	269.229	281.109	238.374	295.256	326.042	300.32 	292.355	289.71 	283.462	297.306	279.535	284.556	246.863	288.158
268.785	298.114	307.416	307.368	306.283	317.008	269.229	280.304	238.374	295.225	326.042	300.094	292.355	287.668	283.395	297.304	279.535	282.954	246.746	287.739
267.761	298.114	307.416	306.054	306.058	317.008	268.776	280.304	238.374	291.153	322.518	299.652	290.987	287.557	283.462	297.017	279.226	282.954	246.746	287.739
266.069	298.114	307.366	306.054	306.055	317.008	268.759	280.304	238.319	291.153	322.518	298.511	290.987	286.215	283.293	297.304	279.211	282.329	246.746	287.739
266.069	298.204	304.293	306.054	305.242	317.008	267.848	280.304	238.319	291.085	320.505	298.254	289.132	283.868	283.293	296.978	279.211	282.329	246.291	287.739
266.069	297.721	304.293	305.679	305.242	317.008	267.449	280.283	238.319	290.969	321.439	298.254	289.132	283.825	282.959	296.961	277.026	282.029	245.655	286.425
266.068	298.204	302.863	305.679	304.843	316.969	267.176	280.283	238.319	289.454	321.439	297.766	289.132	283.825	282.959	296.961	276.685	281.036	245.911	286.425
266.068	296.9  	299.88 	305.679	304.184	316.894	266.984	280.283	238.319	289.427	321.439	297.261	289.132	283.347	282.785	296.955	276.685	279.994	242.793	286.425
265.997	296.9  	299.88 	305.679	303.553	316.367	266.842	279.948	238.026	288.584	322.438	297.261	289.035	283.347	282.758	296.955	276.685	279.994	242.793	286.425
265.416	296.9  	299.88 	305.679	302.974	316.558	265.665	278.82 	238.026	286.998	315.506	296.261	287.43 	283.05 	281.906	296.94 	274.824	279.994	242.793	286.425
265.416	295.986	299.562	304.845	302.846	316.558	265.665	278.82 	238.026	286.763	315.506	296.058	287.43 	283.05 	281.906	296.94 	274.526	279.987	241.548	286.425
265.152	295.986	299.171	303.856	302.122	316.558	265.288	278.82 	238.026	284.725	315.965	296.058	287.43 	282.317	281.57 	296.475	274.526	279.722	241.548	286.425
265.152	295.986	297.665	303.856	299.608	316.558	264.255	278.82 	238.026	284.402	315.965	296.058	286.779	282.317	281.403	296.467	274.526	278.963	241.537	286.425
264.615	295.836	297.665	303.37 	296.698	316.558	264.156	278.82 	238.026	286.007	315.965	296.058	287.198	281.098	281.361	296.467	273.739	278.963	241.188	286.425
264.026	295.633	297.665	302.95 	296.698	316.558	263.623	278.82 	238.026	282.647	315.965	295.299	286.877	280.949	281.361	296.467	273.739	278.963	240.828	286.425
264.026	295.633	297.119	302.95 	295.751	316.558	263.317	278.528	238.026	282.647	315.689	295.299	286.877	280.911	281.113	296.467	273.739	278.168	239.992	286.425
264.026	295.557	297.119	302.95 	295.751	316.558	262.393	278.528	237.846	282.647	315.211	295.285	286.413	280.653	281.075	296.467	272.063	278.168	239.992	286.425
264.026	295.553	294.782	302.405	293.982	316.098	262.393	278.528	237.846	282.61 	314.083	295.285	286.202	280.653	280.794	296.467	272.063	278.168	239.442	286.425
264.018	293.886	294.782	302.278	293.982	315.966	262.393	278.361	237.846	281.478	312.483	294.483	286.202	280.552	280.204	296.467	272.063	277.69 	239.442	286.425
263.982	293.818	294.782	302.278	291.714	315.966	261.912	278.361	237.846	281.478	310.547	294.483	285.383	280.409	280.204	296.467	272.063	277.25 	239.315	286.425
263.982	293.595	294.49 	300.884	288.866	315.912	261.032	278.358	237.726	281.478	309.692	294.483	285.383	280.409	280.204	296.467	272.063	277.25 	237.161	286.425
