T	S	TP	TN	FP	FN
1	2	10342	131527	42961	28434
1	6	7976	136308	45327	23653
2	1	2694	159773	50660	137
1	2	10342	131527	42961	28434
1	2	10342	131527	42961	28434
1	6	7976	136308	45327	23653
2	1	2694	159773	50660	137
2	4	53354	6771	0	153139
2	1	2694	159773	50660	137
3	3	0	159958	53306	0
3	7	0	159958	53306	0
4	4	4878	159208	48423	755
4	9	12465	158013	40836	1950
