URBAN_PER	URBAN_POP	LABOR_PARTICIPATION	BIRTH_RATE	ELEC_PER_CAP	ENERGY  	CO2   	PHONES	NET_IMPORTS	POPULATION	POPDENS	ARABLE_PER_AG	AGLAND_PER	ARABLE_PER	AREA	COMSTHREE	COMSTWO	GDP_PPP	SHADOW_PER
73.1	59325036	59.1	9.9	6288.44	334993	909338.85	37000000	447202000000	81156000	227.27	0.7	48.6	34.26	357090	38774378	38774378	1685080000000	10.5
75.3	187966119	66.3	16.7	11713.33	1913168	4861047.12	136114208	630300000000	249623000	25.92	0.44	46.62	20.28	9632030	141397263	141397263	5757200000000	10.5
83.1	7245156.6	65.6	13.5	15506.73	46495	52937.47	5910000	58658298430	8718600	19.36	0.85	8.15	6.94	450290	6684500	6684500	171382000000	10.6
84.72	4354608	67.8	12.3	5944.94	17342	50361.68	2911198	44220663801	5140000	119.29	0.92	65.44	60.39	43090	3059418	3059418	94894834894	10.8
56.78	1990593.24	52.3	15.1	3776.31	9968	30319.6	983000	24795362772	3505800	49.88	0.18	82.09	14.91	70280	1008000	1008000	45530702008	11
83.1	7112529	67.4	14.5	15835.73	47198	51666.06	5848700	72798709198	8559000	19.01	0.83	8.33	6.94	450290	6309900	6309900	165349000000	11
88.7	51196410.62	61.8	13.1	5491.99	215194	567058.96	27336000	256038000000	57718614	236.93	0.37	74.69	27.7	243610	29604000	29604000	1021660000000	11.2
76.6	21287906	66.9	15	16109.28	208680	449708.37	15295819	149661000000	27791000	2.78	0.67	7.45	5	9984670	15879585	15879585	541900000000	11.7
73.02	58001976.6	56.6	11.4	6639.73	351404	960206.16	31887000	426287000000	79433000	222.47	0.66	51.77	34.26	357050	32159609	32159609	1459390000000	11.8
68.7	10496739.6	57.2	12.8	5498.17	68952	172010.14	7634000	160980000000	15279096.95	367.91	0.44	58.83	25.95	41530	7850000	7850000	301154000000	11.8
68.3	10212216	55.3	13.2	5217.96	65672	163993.31	6940000	155235000000	14952000	360.03	0.43	59.36	25.74	41530	7019000	7019000	263510000000	11.9
74.1	42040635	55.6	13.4	6126.59	224477	398701.82	28084922	281156000000	56735000	103.31	0.58	56	32.7	549190	28368122	28368122	1005000000000	12.3
73.1	59325036	59.1	9.9	6288.44	334993	909338.85	37000000	447202000000	81156000	227.27	0.7	48.6	34.26	357090	38774378	38774378	1685080000000	12.5
68.7	10496739.6	57.2	12.8	5498.17	68952	172010.14	7634000	160980000000	15279096.95	367.91	0.44	58.83	25.95	41530	7850000	7850000	301154000000	12.7
76.56	21276789.6	66.9	15	16109.28	208680	449708.37	15295819	149661000000	27791000	2.78	0.67	7.45	4.99	9984670	15879585	15879585	541900000000	12.8
85.4	15087618	62.9	14.7	8665.25	91183	304606.64	8540000	55606379989	17667000	2.28	0.1	60.68	6.21	7741220	9230000	9230000	334808000000	13
85.4	15087618	62.9	14.7	8665.25	91183	304606.64	8540000	55606379989	17667000	2.28	0.1	60.68	6.21	7741220	9230000	9230000	334808000000	13.1
88.7	50778608.78	62.5	13.9	5356.58	207174	569752	25368000	263933000000	57247586	235	0.37	75.67	27.7	243610	26482000	26482000	934250000000	13.1
63.1	77951847	62.8	10	6486.15	438090	1152262.05	54527952	287929000000	123537000	326.91	0.84	15.71	13.14	377890	55396030	55396030	2322110000000	13.2
61.4	3061404	65.7	13.1	12486.76	28381	50900.29	2669697	33344736433	4986000	14.74	0.95	7.83	7.41	338150	2927569	2927569	88247894106	13.3
68.7	10272024	55.3	13.2	5217.96	65672	163993.31	6940000	155235000000	14952000	360.03	0.44	59.36	25.95	41530	7019000	7019000	263510000000	13.4
76.6	22086392.34	65.3	13.6	16235.99	220317	477756.29	16716802	170276000000	28833410.36	2.89	0.67	7.46	5	9984670	18049784	18049784	593350000000	13.5
74.1	42584899.5	54.9	12.3	6636.74	237273	388787.04	30900000	259650000000	57469500	104.64	0.59	55.38	32.7	549190	31472000	31472000	1104620000000	13.8
75.3	195719007	65.9	15.5	12261.52	2005838	5148872.64	148106160	720900000000	259919000	26.98	0.44	46.45	20.28	9632030	164115621	164115621	6604300000000	13.9
56.9	2027517.7	51.9	13.9	4200.32	10115	31261.25	1170000	27885916967	3563300	50.7	0.24	64.06	15.27	70280	1231100	1231100	53355290266	14.2
73.1	58065523	56.6	11.4	6639.73	351404	960206.16	31887000	426287000000	79433000	222.47	0.66	51.77	34.26	357050	32159609	32159609	1459390000000	14.6
71.86	3047941.9	64.8	14.4	23353.77	21000	31305.22	2132290	39734971325	4241500	13.1	0.88	3.26	2.86	323800	2329118	2329118	75860623092	14.8
84.8	4400272	68	13	6305.26	18918	59367.79	3059806	43134070544	5189000	120.42	0.92	64.95	60.04	43090	3417395	3417395	106099000000	15
85.4	14573595.4	63.2	15.4	8129.1	86226	292878.18	7786889	52921123509	17065100	2.2	0.1	60.8	6.21	7741220	7971832	7971832	295862000000	15.3
96.4	9721458	49.4	12	6881.06	49926	108282.19	4395695	132383000000	10084500	330.31	0.62	45.9	28.47	30530	4463466	4463466	206755000000	15.3
65.8	5073760.36	55.2	11.6	6078.29	24782	60910.34	3223161	60770906450	7710882	91.94	0.41	43.03	17.7	83870	3296859	3296859	149389000000	15.5
47.9	4777546	59.3	11.5	2800.58	17762	47401.17	3260319	29334496946	9974000	108.27	0.61	42.38	25.99	92120	3361619	3361619	119492000000	15.6
83.1	7112529	67.4	14.5	15835.73	47198	51666.06	5848700	72798709198	8559000	19.01	0.84	8.33	6.99	450290	6309900	6309900	165349000000	15.8
72	3104640	62.9	13.8	23967.07	23466	31286.9	2334836	37247853850	4312000	13.32	0.88	3.3	2.89	323800	2706239	2706239	90161116305	16.7
47.9	4740184	60.4	11.8	2564.27	16739	44272.11	2379265	28524961328	9896000	107.43	0.59	43.77	25.99	92120	2385765	2385765	106728000000	16.8
84.8	4358720	67.8	12.3	5944.94	17342	50361.68	2911198	44220663801	5140000	119.29	0.92	65.44	60.04	43090	3059418	3059418	94894834894	16.9
83.1	7245156.6	65.6	13.5	15506.73	46495	52937.47	5910000	58658298430	8718600	19.36	0.85	8.15	6.94	450290	6684500	6684500	171382000000	17
66.9	38030040.9	47.3	9.2	4597.75	159216	437529.23	24845000	247021000000	56846100	188.64	0.53	53.39	28.32	301340	28768000	28768000	1200090000000	19.2
96.3	9598606.2	48.4	12.4	6380.3	48242	107501.76	3912629	136849000000	9967400	326.48	0.62	45.9	28.47	30530	3955509	3955509	186388000000	19.3
66.7	37831573	50.4	10	4144.92	146700	424727.22	22350000	215668000000	56719000	188.22	0.53	57.29	30.58	301340	22616000	22616000	997974000000	19.6
96.4	9608573.6	48.4	12.4	6380.3	48242	107501.76	3912629	136849000000	9967400	326.48	0.62	45.9	28.47	30530	3955509	3955509	186388000000	19.8
78.48	35728020	61.7	15.3	4280.68	160099	403860.74	19600950	174746000000	45525000	456.53	0.87	20.74	18.06	99720	22781939	22781939	629329000000	20.3
66.7	37907444.25	48.3	9.4	4303.57	148554	422334.62	24167000	185999000000	56832750	188.6	0.56	54.33	30.58	301340	25374175	25374175	1096350000000	20.4
56.9	1994800.2	52.3	15.1	3776.31	9968	30319.6	983000	24795362772	3505800	49.88	0.19	82.09	15.27	70280	1008000	1008000	45530702008	20.6
96.4	9721458	49.4	12	6881.06	49926	108282.19	4395695	132383000000	10084500	330.31	0.62	45.9	28.47	30530	4463466	4463466	206755000000	20.8
58.8	5974668	51.4	10.1	3232.75	21441	72668.11	3948654	27924333620	10161000	77	0.31	71.49	22.44	131960	3948654	3948654	129968000000	21.8
66.72	37842916.8	50.4	10	4144.92	146700	424727.22	22350000	215668000000	56719000	188.22	0.53	57.29	30.46	301340	22616000	22616000	997974000000	22.8
66.7	37907444.25	48.3	9.4	4303.57	148554	422334.62	24167000	185999000000	56832750	188.6	0.56	54.33	30.58	301340	25374175	25374175	1096350000000	24
58.8	6154008	50.2	9.8	3457.58	21870	75584.66	4744016	28134958383	10466000	79.31	0.32	71.12	22.44	131960	4792016	4792016	143837000000	27.2
70.92	59023879.2	58.4	28.85	1294.88	121163	357214.35	5354500	51767988094	83226000	42.37	0.23	53.04	12.29	1964380	5418426	5418426	514260000000	33
71.4	62798900.12	59.3	27.15	1373.72	128865	348189.92	7620880	77307434705	87953641.63	44.77	0.23	54.12	12.4	1964380	8007012	8007012	613428000000	35.1
70.92	59023879.2	58.4	28.85	1294.88	121163	357214.35	5354500	51767988094	83226000	42.37	0.23	53.04	12.29	1964380	5418426	5418426	514260000000	49
75.4	29282344	49.8	10.3	3539.6	90087	227406.16	12602600	101043000000	38836000	76.85	0.51	61.47	31.06	505320	12657300	12657300	517666000000	50.5
