URBAN_PER	URBAN_POP	LABOR_PARTICIPATION	BIRTH_RATE	ELEC_PER_CAP	ENERGY  	CO2   	PHONES	NET_IMPORTS	POPULATION	POPDENS	ARABLE_PER_AG	AGLAND_PER	ARABLE_PER	AREA	COMSTHREE	COMSTWO	GDP_PPP	SHADOW_PER
87.88	14471424.57	55.3	15.13	3200.35	30460	67926.9	3383597	45072093988	16467256	21.78	0.09	21.36	1.95	756090	16853918	15834398	214218000000	19
49.22	109245600.31	68.2	19.39	532.32	180606	342547.36	14820733	93411720084	221953678	116.54	0.45	26.74	12.11	1904570	78818116	78623749	768157000000	19.1
66.38	451778.96	58.5	18.66	2737.31	1361	4649.62	245941	3192145236	680595	73.58	0.65	17.42	11.26	9250	249097	249097	7149439681	21
91.62	6462599.94	56.4	21	6710.1	21163	65724.83	3004653	61721800799	7053700	319.61	0.61	23.37	14.37	22070	12829418	11408418	176021000000	21.2
28.98	321623270.4	57.8	23.5	510.75	560965	1503115.7	40770000	231318000000	1109811147	337.61	0.89	60.49	53.55	3287260	209120000	206820000	2855220000000	21.6
25.26	214587489	60.2	30.2	275.8	318163	690011.81	5074734	27140691531	849515000	258.43	0.9	60.97	54.76	3287260	5074734	5074734	753303000000	22
91.6	35820497.85	63.9	17.45	2561.7	68527	171456.88	9459794	41169577638	39105347	14.06	0.23	48	11.14	2780400	42553897	40970184	469316000000	24.2
67.76	22498926.05	52.7	27.23	868.94	24223	57290.3	2414726	5969028733	33203846	29.08	0.08	40.72	3.28	1141750	2414726	2414726	141822000000	25
77.76	3291220.77	76.8	14.75	14621.96	45381	121362.67	1309683	110607000000	4232537	50.63	0.11	6.67	0.77	83600	7069596	6828976	224846000000	25.1
62.22	2735017.61	62.2	17.29	1802.21	4376	7430.59	1329505	12452022644	4395721	86.02	0.07	53.47	3.92	51100	2856428	2773222	43763735076	25.8
38.86	525231.37	72.6	34.77	732.47	1261	2169.09	26367	1887903211	1351599	2.32	0.02	45.9	0.72	581730	26367	26367	6828309791	27
47.96	2038172.43	67.2	33.47	501.21	3073	2260.69	112452	2079153521	4249734	10.45	0.12	43.1	5.11	406750	112452	112452	12069251319	27
59.78	28330354.75	53.5	22.77	4831.38	129195	403402.74	4642000	84705727727	47391025	38.87	0.15	81.99	12.1	1219090	44639112	44304000	442437000000	27.4
93.82	381291.99	49.5	9.56	4884.25	821	2572.13	208361	5843286810	406408	1270.03	0.88	29.06	25.63	320	608080	555132	9030408321	27.6
69.5	587300.72	61.4	11.5	5243.56	2309	7782.34	408319	9535391710	845037	91.36	0.74	18.07	13.31	9250	1339188	1276104	20332987202	28.3
74.1	110831729.39	64.5	24.2	1455.21	139505	208716.1	9409000	32160000000	149570485	17.57	0.21	28.3	5.89	8514880	9409667	9409667	762570000000	29
90.28	4207048	53.4	22.2	4176.18	11586	33507.28	1626449	23822040245	4660000	211.15	0.59	26.57	15.67	22070	1641689	1641689	60134704956	29
76.6	79833562.45	60.6	18.97	2003.16	175099	447374.4	19861300	278698000000	104221360.9	53.06	0.23	55.2	12.86	1964380	78343904	75256760	1440350000000	29.3
83.82	16554450	58	28.56	2462.94	43571	122062.5	1487710	9492072728	19750000	21.65	0.14	24.73	3.51	912050	1495132	1495132	134293000000	30
67.54	6533654.13	65.1	23.22	1300.84	7742	20342.53	897026	13653160449	9673755	198.76	0.33	52.09	16.97	48670	5611276	5502685	67545697039	30.9
63.94	21324935.03	57.1	20.77	869.92	34717	133420.9	2841297	25210950486	33351478	14	0.18	17.3	3.15	2381740	24009251	23839251	248303000000	30.9
